Section,Course,Gender,Residence
Section B,Bachelor of Technology CSE,Male,Hosteller (University Hostels)
Section B,Bachelor of Technology CSE,Female,Hosteller (University Hostels)
Section B,Bachelor of Technology CSE,Male,Hosteller (University Hostels)
Section B,Bachelor of Technology CSE,Female,Hosteller (University Hostels)
Section B,Bachelor of Technology CSE,Female,Hosteller (University Hostels)
Section B,Bachelor of Technology CSE,Male,Hosteller (University Hostels)
Section B,Bachelor of Technology CSE,Male,Hosteller (University Hostels)
Section B,Bachelor of Technology CSE,Female,Hosteller (University Hostels)
Section B,Bachelor of Technology CSE,Male,Hosteller (University Hostels)
Section B,Bachelor of Technology CSE,Female,Hosteller (University Hostels)
Section B,Bachelor of Technology CSE,Male,Hosteller (University Hostels)
Section B,Bachelor of Technology CSE,Female,Hosteller (University Hostels)
Section B,Bachelor of Technology CSE,Male,Hosteller (University Hostels)
Section B,Bachelor of Technology CSE,Male,Hosteller (University Hostels)
Section B,Bachelor of Technology CSE,Male,Hosteller (University Hostels)
Section B,Bachelor of Technology CSE,Male,Hosteller (University Hostels)
Section B,Bachelor of Technology CSE,Female,Hosteller (University Hostels)
Section B,Bachelor of Technology CSE,Female,Hosteller (University Hostels)
Section B,Bachelor of Technology CSE,Female,Hosteller (University Hostels)
Section B,Bachelor of Technology CSE,Male,Hosteller (University Hostels)
Section B,Bachelor of Technology CSE,Male,Hosteller (University Hostels)
Section B,Bachelor of Technology CSE,Male,Hosteller (University Hostels)
Section B,Bachelor of Technology CSE,Male,Hosteller (University Hostels)
Section B,Bachelor of Technology CSE,Female,Hosteller (University Hostels)
Section B,Bachelor of Technology CSE,Female,Hosteller (University Hostels)
Section B,Bachelor of Technology CSE,Male,Hosteller (University Hostels)
Section B,Bachelor of Technology CSE,Male,Hosteller (University Hostels)
Section B,Bachelor of Technology CSE,Male,Hosteller (University Hostels)
Section B,Bachelor of Technology CSE,Male,Hosteller (University Hostels)
Section B,Bachelor of Technology CSE,Male,Hosteller (University Hostels)
Section B,Bachelor of Technology CSE,Female,Hosteller (University Hostels)
Section B,Bachelor of Technology CSE,Male,Hosteller (University Hostels)
Section B,Bachelor of Technology CSE,Female,Hosteller (University Hostels)
Section B,Bachelor of Technology CSE,Female,Hosteller (University Hostels)
Section B,Bachelor of Technology CSE,Male,Hosteller (University Hostels)
Section B,Bachelor of Technology CSE,Female,Hosteller (University Hostels)
Section B,Bachelor of Technology CSE,Male,Hosteller (University Hostels)
Section B,Bachelor of Technology CSE,Male,Hosteller (University Hostels)
Section B,Bachelor of Technology CSE,Male,Hosteller (University Hostels)
Section B,Bachelor of Technology CSE,Female,Hosteller (University Hostels)
Section B,Bachelor of Technology CSE,Female,Hosteller (University Hostels)
Section B,Bachelor of Technology CSE,Male,Hosteller (University Hostels)
Section B,Bachelor of Technology CSE,Male,Hosteller (University Hostels)
Section B,Bachelor of Technology CSE,Female,Hosteller (University Hostels)
Section D,Bachelor of Technology ECE,Female,Nearby PG/hostel or Rented R
Section D,Bachelor of Technology CSE Cyb,Male,Day Scholar (Commuting Dail
Section D,Bachelor of Technology ME,Male,Day Scholar (Commuting Dail
Section D,Bachelor of Technology CSE Cyb,Male,Day Scholar (Commuting Dail
Section D,Bachelor of Technology CSE Cyb,Male,Hosteller (University Hostels)
Section D,Bachelor of Technology ME Mec,Male,Day Scholar (Commuting Dail
Section D,Bachelor of Technology Civil,Male,Hosteller (University Hostels)
Section D,Bachelor of Technology ME,Male,Day Scholar (Commuting Dail
Section D,Bachelor of Technology ME,Male,Hosteller (University Hostels)
Section D,Bachelor of Technology ME,Male,Day Scholar (Commuting Dail
Section D,Bachelor of Technology Civil,Male,Hosteller (University Hostels)
Section D,Bachelor of Technology CSE Cyb,Male,Day Scholar (Commuting Dail
Section D,Bachelor of Technology CSE Cyb,Female,Day Scholar (Commuting Dail
Section D,Bachelor of Technology CSE Cyb,Female,Day Scholar (Commuting Dail
Section D,Bachelor of Technology ECE,Male,Day Scholar (Commuting Dail
Section D,Bachelor of Technology CSE Cyb,Male,Hosteller (University Hostels)
Section D,Bachelor of Technology ECE VL,Male,Hosteller (University Hostels)
Section D,Bachelor of Technology CSE Cyb,Female,Day Scholar (Commuting Dail
Section D,Bachelor of Technology ECE,Male,Nearby PG/hostel or Rented R
Section D,Bachelor of Technology ECE VL,Male,Day Scholar (Commuting Dail
Section D,Bachelor of Technology Civil,Male,Day Scholar (Commuting Dail
Section D,Bachelor of Technology ME,Male,Nearby PG/hostel or Rented R
Section D,Bachelor of Technology CSE Cyb,Male,Nearby PG/hostel or Rented R
Section D,Bachelor of Technology CSE Cyb,Male,Nearby PG/hostel or Rented R
Section D,Bachelor of Technology CSE Cyb,Female,Hosteller (University Hostels)
Section D,Bachelor of Technology CSE Cyb,Male,Nearby PG/hostel or Rented R
Section D,Bachelor of Technology CSE Cyb,Female,Hosteller (University Hostels)
Section D,Bachelor of Technology ECE,Male,Day Scholar (Commuting Dail
Section D,Bachelor of Technology ECE,Male,Day Scholar (Commuting Dail
Section D,Bachelor of Technology CSE Cyb,Male,Day Scholar (Commuting Dail
Section D,Bachelor of Technology CSE Cyb,Male,Hosteller (University Hostels)
Section D,Bachelor of Technology ME,Male,Nearby PG/hostel or Rented R
